series_id,display_name,content_type,genre_normalized,era_bucket,_storyline,_tone,_maturity,_director,_actor,n_episodes_tagged
movie::0000015b-7dba-d482-a3db-ffbb69130000,Bapi Bari Jaa,movie,Romantic,2010s,"['ensemble_multiple_storylines', 'family_conflict', 'self_discovery']","['dramatic', 'emotional', 'heartwarming']","['foul language', 'sexual content']",['Sudeshna Roy'],"['Anindya Chatterjee', 'Arjun Chakrabarty', 'Mimi Chakraborty', 'Shalmi Barman']",1
movie::0000015b-8cc1-d6fc-a95b-dedb66b10000,Rajkahini,movie,Drama,2010s,"['gender_empowerment', 'political_unrest', 'social_injustice', 'survival']","['dramatic', 'intense', 'tragic']","['foul language', 'sexual content', 'substance use', 'violence']",['Srijit Mukherji'],"['Abir Chatterjee', 'Ditipriya Roy', 'Jaya Ahsan', 'Jisshu Sengupta', 'Kaushik Sen', 'Parno Mittra', 'Priyanka Sarkar', 'Rajatava Dutta', 'Ridhima Ghosh', 'Rituparna Sengupta', 'Rudranil Ghosh', 'Saayoni Ghosh', 'Saswata Chatterjee', 'Sohini Sarkar', 'Sudipta Chakraborty']",1
movie::0000015b-8cca-d6e5-ad7b-9fff41a10000,Royal Bengal Rahasya,movie,Detective,2010s,"['crime_investigation', 'murder_mystery']","['mysterious', 'suspenseful', 'tense']",['violence'],['Sandip Ray'],"['Bibhu Bhattacharya', 'Sabyasachi Chakrabarty', 'Shaheb Bhattacharjee']",1
movie::0000015b-9237-d1d7-a37b-d6777f470000,Parbo Na Aami Chartey Toke,movie,Drama,2010s,"['forbidden_love', 'social_injustice']","['bittersweet', 'emotional', 'heartwarming']",['appropriate for age 7 and above'],['Raj Chakraborty'],"['Bonny Sengupta', 'Kharaj Mukherjee', 'Koushani Mukherjee', 'Swastika Dutta']",1
movie::0000015b-923b-d139-afdf-9e3f302d0000,Poran Jaye Jolia Re,movie,Romance,2000s,"['arranged_marriage', 'family_conflict', 'forbidden_love']","['chaotic', 'dramatic', 'emotional']",['appropriate for age 7 and above'],['Rabi Kinagi'],"['Biswajit Chakraborty', 'Dev', 'Laboni Sarkar', 'Subhashree Ganguly', 'Tota Roy Choudhury']",1
movie::0000015b-970d-d770-adff-d78fe59a0000,Premer Kahini,movie,Romance,2000s,"['arranged_marriage', 'forbidden_love', 'love_triangle']","['dramatic', 'emotional', 'heartwarming']",['appropriate for age 7 and above'],['Rabi Kinagi'],"['Dev', 'Jisshu Sengupta', 'Koel Mallick']",1
movie::0000015b-a58b-dadf-a7ff-ad8b57e10000,Jamai 420,movie,Comedy,2010s,"['comedy_of_errors', 'love_triangle', 'mistaken_identity']","['chaotic', 'comedic']","['foul language', 'sexual content', 'substance use']",['Rabi Kinagi'],"['Ankush Hazra', 'Mimi Chakraborty']",1
movie::0000015b-ab83-d139-afdf-afa7efd60000,Golpo Holeo Shotti,movie,Horror,2010s,"['comedy_of_errors', 'ghost_haunting', 'supernatural_threat']","['comedic', 'eerie', 'suspenseful']","['foul language', 'frightening scenes', 'violence']",['Birsa Dasgupta'],"['Mimi Chakraborty', 'Soham Chakraborty']",1
movie::0000015b-ab84-d429-af7b-ebff85c90000,Goynar Baksho,movie,Drama,2010s,"['family_conflict', 'gender_empowerment', 'ghost_haunting', 'supernatural_threat']","['comedic', 'empowering', 'heartwarming']","['foul language', 'sexual content']",['Aparna Sen'],"['Aparajita Adhya', 'Konkona Sen Sharma', 'Moushumi Chatterjee', 'Paran Bandopadhyay', 'Saswata Chatterjee', 'Srabanti Chatterjee']",1
movie::0000015b-b2ab-d01e-a37f-feff6b0d0000,Chokher Bali,movie,Drama,2000s,"['betrayal', 'deception_disguise', 'extramarital_affair', 'love_triangle']","['dark', 'dramatic', 'tragic']",['sexual content'],['Rituparno Ghosh'],"['Aishwarya Rai Bachchan', 'Prosenjit Chatterjee', 'Raima Sen', 'Tota Roy Choudhury']",1
movie::0000015b-b2ac-d76f-afdf-f6bc0a7a0000,Cholo Paltai,movie,Sports,2010s,"['domestic_conflict', 'family_conflict', 'reconciliation', 'self_discovery']","['emotional', 'heartwarming']",['appropriate for age 7 and above'],['Haranath Chakraborty'],"['Aryann Bhowmik', 'Prosenjit Chatterjee', 'Rajatava Dutta', 'Tathoi Deb']",1
